penalty,min_distance,avg_reward,avg_violations,total_violations
0.0,0.0372465224671538,-47.50590073313979,36.658,18329
-1.0,0.040723437247856,-120.4200398639584,40.622,20311
-5.0,0.2144189535783399,-387.09331077409934,46.212,23106
-10.0,0.35673501322334256,-540.5025162594462,43.83,21915
